date,latitude,longitude,wnv_present,tavg,dew_point,precip_total,stn_pressure,avg_speed,year,month,week_of_year,daylight_hours,r_humidity,species_CULEX PIPIENS/RESTUANS,species_CULEX RESTUANS,species_OTHERS
2007-05-29,41.95469,-87.800991,0,75.5,58.5,0.0,29.415,6.95,2007.0,5.0,22.0,14.93,55.614999999999995,1,0,0
2007-05-29,41.95469,-87.800991,0,75.5,58.5,0.0,29.415,6.95,2007.0,5.0,22.0,14.93,55.614999999999995,0,1,0
2007-05-29,41.994991,-87.769279,0,75.5,58.5,0.0,29.415,6.95,2007.0,5.0,22.0,14.93,55.614999999999995,0,1,0
2007-05-29,41.974089,-87.824812,0,75.5,58.5,0.0,29.415,6.95,2007.0,5.0,22.0,14.93,55.614999999999995,1,0,0
2007-05-29,41.974089,-87.824812,0,75.5,58.5,0.0,29.415,6.95,2007.0,5.0,22.0,14.93,55.614999999999995,0,1,0
2007-05-29,41.9216,-87.666455,0,75.5,58.5,0.0,29.415,6.95,2007.0,5.0,22.0,14.93,55.614999999999995,0,1,0
2007-05-29,41.891118,-87.654491,0,75.5,58.5,0.0,29.415,6.95,2007.0,5.0,22.0,14.93,55.614999999999995,0,1,0
2007-05-29,41.867108,-87.654224,0,75.5,58.5,0.0,29.415,6.95,2007.0,5.0,22.0,14.93,55.614999999999995,1,0,0
2007-05-29,41.867108,-87.654224,0,75.5,58.5,0.0,29.415,6.95,2007.0,5.0,22.0,14.93,55.614999999999995,0,1,0
2007-05-29,41.896282,-87.655232,0,75.5,58.5,0.0,29.415,6.95,2007.0,5.0,22.0,14.93,55.614999999999995,0,1,0
2007-05-29,41.919343,-87.694259,0,75.5,58.5,0.0,29.415,6.95,2007.0,5.0,22.0,14.93,55.614999999999995,1,0,0
2007-05-29,41.921965,-87.632085,0,75.5,58.5,0.0,29.415,6.95,2007.0,5.0,22.0,14.93,55.614999999999995,1,0,0
2007-05-29,41.921965,-87.632085,0,75.5,58.5,0.0,29.415,6.95,2007.0,5.0,22.0,14.93,55.614999999999995,0,1,0
2007-05-29,41.688324,-87.676709,0,75.5,58.5,0.0,29.415,6.95,2007.0,5.0,22.0,14.93,55.614999999999995,1,0,0
2007-05-29,41.688324,-87.676709,0,75.5,58.5,0.0,29.415,6.95,2007.0,5.0,22.0,14.93,55.614999999999995,0,1,0
2007-05-29,41.862292,-87.64886,0,75.5,58.5,0.0,29.415,6.95,2007.0,5.0,22.0,14.93,55.614999999999995,0,1,0
